B_T,H_A_per_m
1.6451892408319029,39200.0
1.6453149045380464,39300.0
1.6454405682441902,39400.0
1.6455662319503337,39500.0
1.6456918956564772,39600.0
1.645817559362621,39700.0
1.6459432230687645,39800.0
1.646068886774908,39900.0
1.6461945504810516,40000.0
1.6463202141871953,40100.0
1.6464458778933388,40200.0
1.6465715415994824,40300.0
1.646697205305626,40400.0
1.6468228690117697,40500.0
1.6469485327179132,40600.0
1.6470741964240567,40700.0
1.6471998601302005,40800.0
1.647325523836344,40900.0
1.6474511875424875,41000.0
1.647576851248631,41100.0
1.6477025149547748,41200.0
1.6478281786609184,41300.0
1.6479538423670619,41400.0
1.6480795060732054,41500.0
1.6482051697793492,41600.0
1.6483308334854927,41700.0
1.6484564971916362,41800.0
1.64858216089778,41900.0
1.6487078246039235,42000.0
1.648833488310067,42100.0
1.6489591520162106,42200.0
1.6490848157223543,42300.0
1.6492104794284979,42400.0
1.6493361431346414,42500.0
1.6494618068407851,42600.0
1.6495874705469287,42700.0
1.6497131342530722,42800.0
1.6498387979592157,42900.0
1.6499644616653595,43000.0
1.650090125371503,43100.0
1.6502157890776465,43200.0
1.65034145278379,43300.0
1.6504671164899338,43400.0
1.6505927801960774,43500.0
1.6507184439022209,43600.0
1.6508441076083646,43700.0
1.6509697713145082,43800.0
1.6510954350206517,43900.0
1.6512210987267952,44000.0
1.651346762432939,44100.0
1.6514724261390825,44200.0
1.651598089845226,44300.0
1.6517237535513696,44400.0
1.6518494172575133,44500.0
1.6519750809636569,44600.0
1.6521007446698004,44700.0
1.6522264083759441,44800.0
1.6523520720820877,44900.0
1.6524777357882312,45000.0
1.6526033994943747,45100.0
1.6527290632005185,45200.0
1.652854726906662,45300.0
1.6529803906128056,45400.0
1.6531060543189493,45500.0
1.6532317180250928,45600.0
1.6533573817312364,45700.0
1.65348304543738,45800.0
1.6536087091435236,45900.0
1.6537343728496672,46000.0
1.6538600365558107,46100.0
1.6539857002619542,46200.0
1.654111363968098,46300.0
1.6542370276742415,46400.0
1.654362691380385,46500.0
1.6544883550865288,46600.0
1.6546140187926723,46700.0
1.6547396824988159,46800.0
1.6548653462049594,46900.0
1.6549910099111032,47000.0
1.6551166736172467,47100.0
1.6552423373233902,47200.0
1.6553680010295337,47300.0
1.6554936647356775,47400.0
1.655619328441821,47500.0
1.6557449921479646,47600.0
1.6558706558541083,47700.0
1.6559963195602518,47800.0
1.6561219832663954,47900.0
1.656247646972539,48000.0
1.6563733106786827,48100.0
1.6564989743848262,48200.0
1.6566246380909697,48300.0
1.6567503017971132,48400.0
1.656875965503257,48500.0
1.6570016292094005,48600.0
1.657127292915544,48700.0
1.6572529566216878,48800.0
1.6573786203278313,48900.0
1.6575042840339749,49000.0
1.6576299477401184,49100.0
1.6577556114462622,49200.0
1.6578812751524057,49300.0
1.6580069388585492,49400.0
1.658132602564693,49500.0
1.6582582662708365,49600.0
1.65838392997698,49700.0
1.6585095936831236,49800.0
1.6586352573892673,49900.0
1.6587609210954108,50000.0
